   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
 745: notes = 101001100011, scaleid = F31, rotationid = 2, modeid = F311, inverse = F067, scalename = 231411
 746: notes = 100110001110, scaleid = F31, rotationid = 3, modeid = F368, inverse = F226, scalename = 314112
 747: notes = 110001110100, scaleid = F31, rotationid = 4, modeid = F177, inverse = F375, scalename = 141123
 748: notes = 100011101001, scaleid = F31, rotationid = 5, modeid = F413, inverse = F156, scalename = 411231
 749: notes = 111010010100, scaleid = F32, rotationid = 0, modeid = F041, inverse = F390, scalename = 112323
 750: notes = 110100101001, scaleid = F32, rotationid = 1, modeid = F127, inverse = F164, scalename = 123231
 751: notes = 101001010011, scaleid = F32, rotationid = 2, modeid = F317, inverse = F057, scalename = 232311
 752: notes = 100101001110, scaleid = F32, rotationid = 3, modeid = F388, inverse = F223, scalename = 323112
 753: notes = 101001110100, scaleid = F32, rotationid = 4, modeid = F303, inverse = F374, scalename = 231123
 754: notes = 100111010010, scaleid = F32, rotationid = 5, modeid = F344, inverse = F312, scalename = 311232
 755: notes = 111010010010, scaleid = F33, rotationid = 0, modeid = F042, inverse = F320, scalename = 112332
 756: notes = 110100100101, scaleid = F33, rotationid = 1, modeid = F129, inverse = F129, scalename = 123321
 757: notes = 101001001011, scaleid = F33, rotationid = 2, modeid = F320, inverse = F042, scalename = 233211
 758: notes = 100100101110, scaleid = F33, rotationid = 3, modeid = F398, inverse = F219, scalename = 332112
 759: notes = 100101110100, scaleid = F33, rotationid = 4, modeid = F373, inverse = F373, scalename = 321123
 760: notes = 101110100100, scaleid = F33, rotationid = 5, modeid = F219, inverse = F398, scalename = 211233
 761: notes = 111010001100, scaleid = F34, rotationid = 0, modeid = F044, inverse = F370, scalename = 112413
 762: notes = 110100011001, scaleid = F34, rotationid = 1, modeid = F133, inverse = F154, scalename = 124131
 763: notes = 101000110011, scaleid = F34, rotationid = 2, modeid = F327, inverse = F053, scalename = 241311
 764: notes = 100011001110, scaleid = F34, rotationid = 3, modeid = F423, inverse = F222, scalename = 413112
 765: notes = 110011101000, scaleid = F34, rotationid = 4, modeid = F142, inverse = F429, scalename = 131124
 766: notes = 100111010001, scaleid = F34, rotationid = 5, modeid = F345, inverse = F186, scalename = 311241
 767: notes = 111010001010, scaleid = F35, rotationid = 0, modeid = F045, inverse = F300, scalename = 112422
 768: notes = 110100010101, scaleid = F35, rotationid = 1, modeid = F135, inverse = F119, scalename = 124221
 769: notes = 101000101011, scaleid = F35, rotationid = 2, modeid = F330, inverse = F038, scalename = 242211
 770: notes = 100010101110, scaleid = F35, rotationid = 3, modeid = F433, inverse = F218, scalename = 422112
 771: notes = 101011101000, scaleid = F35, rotationid = 4, modeid = F268, inverse = F428, scalename = 221124
 772: notes = 101110100010, scaleid = F35, rotationid = 5, modeid = F220, inverse = F328, scalename = 211242
 773: notes = 111010000110, scaleid = F36, rotationid = 0, modeid = F047, inverse = F265, scalename = 112512
 774: notes = 110100001101, scaleid = F36, rotationid = 1, modeid = F138, inverse = F104, scalename = 125121
 775: notes = 101000011011, scaleid = F36, rotationid = 2, modeid = F334, inverse = F033, scalename = 251211
 776: notes = 100001101110, scaleid = F36, rotationid = 3, modeid = F448, inverse = F217, scalename = 512112
 777: notes = 110111010000, scaleid = F36, rotationid = 4, modeid = F086, inverse = F453, scalename = 121125
 778: notes = 101110100001, scaleid = F36, rotationid = 5, modeid = F221, inverse = F202, scalename = 211251
 779: notes = 111001110000, scaleid = F37, rotationid = 0, modeid = F050, inverse = F447, scalename = 113115
 780: notes = 110011100001, scaleid = F37, rotationid = 1, modeid = F145, inverse = F198, scalename = 131151
 781: notes = 100111000011, scaleid = F37, rotationid = 2, modeid = F351, inverse = F075, scalename = 311511
 782: notes = 111000011100, scaleid = F37, rotationid = 3, modeid = F075, inverse = F351, scalename = 115113
 783: notes = 110000111001, scaleid = F37, rotationid = 4, modeid = F198, inverse = F145, scalename = 151131
 784: notes = 100001110011, scaleid = F37, rotationid = 5, modeid = F447, inverse = F050, scalename = 511311
 785: notes = 111001101000, scaleid = F38, rotationid = 0, modeid = F051, inverse = F432, scalename = 113124
 786: notes = 110011010001, scaleid = F38, rotationid = 1, modeid = F149, inverse = F188, scalename = 131241
 787: notes = 100110100011, scaleid = F38, rotationid = 2, modeid = F361, inverse = F069, scalename = 312411
 788: notes = 110100011100, scaleid = F38, rotationid = 3, modeid = F131, inverse = F350, scalename = 124113
 789: notes = 101000111001, scaleid = F38, rotationid = 4, modeid = F324, inverse = F144, scalename = 241131
 790: notes = 100011100110, scaleid = F38, rotationid = 5, modeid = F414, inverse = F247, scalename = 411312
 791: notes = 111001100100, scaleid = F39, rotationid = 0, modeid = F052, inverse = F397, scalename = 113133
 792: notes = 110011001001, scaleid = F39, rotationid = 1, modeid = F152, inverse = F168, scalename = 131331
 793: notes = 100110010011, scaleid = F39, rotationid = 2, modeid = F367, inverse = F059, scalename = 313311
 794: notes = 110010011100, scaleid = F39, rotationid = 3, modeid = F166, inverse = F348, scalename = 133113
 795: notes = 100100111001, scaleid = F39, rotationid = 4, modeid = F394, inverse = F143, scalename = 331131
 796: notes = 100111001100, scaleid = F39, rotationid = 5, modeid = F346, inverse = F362, scalename = 311313
 797: notes = 111001100010, scaleid = F40, rotationid = 0, modeid = F053, inverse = F327, scalename = 113142
 798: notes = 110011000101, scaleid = F40, rotationid = 1, modeid = F154, inverse = F133, scalename = 131421
 799: notes = 100110001011, scaleid = F40, rotationid = 2, modeid = F370, inverse = F044, scalename = 314211
 800: notes = 110001011100, scaleid = F40, rotationid = 3, modeid = F186, inverse = F345, scalename = 142113
 801: notes = 100010111001, scaleid = F40, rotationid = 4, modeid = F429, inverse = F142, scalename = 421131
 802: notes = 101110011000, scaleid = F40, rotationid = 5, modeid = F222, inverse = F423, scalename = 211314
 803: notes = 111001011000, scaleid = F41, rotationid = 0, modeid = F055, inverse = F422, scalename = 113214
 804: notes = 110010110001, scaleid = F41, rotationid = 1, modeid = F159, inverse = F182, scalename = 132141
 805: notes = 100101100011, scaleid = F41, rotationid = 2, modeid = F381, inverse = F066, scalename = 321411
 806: notes = 101100011100, scaleid = F41, rotationid = 3, modeid = F257, inverse = F349, scalename = 214113
 807: notes = 110001110010, scaleid = F41, rotationid = 4, modeid = F178, inverse = F305, scalename = 141132
 808: notes = 100011100101, scaleid = F41, rotationid = 5, modeid = F415, inverse = F121, scalename = 411321
 809: notes = 111001010100, scaleid = F42, rotationid = 0, modeid = F056, inverse = F387, scalename = 113223
 810: notes = 110010101001, scaleid = F42, rotationid = 1, modeid = F162, inverse = F162, scalename = 132231
 811: notes = 100101010011, scaleid = F42, rotationid = 2, modeid = F387, inverse = F056, scalename = 322311
 812: notes = 101010011100, scaleid = F42, rotationid = 3, modeid = F292, inverse = F347, scalename = 223113
 813: notes = 101001110010, scaleid = F42, rotationid = 4, modeid = F304, inverse = F304, scalename = 231132
 814: notes = 100111001010, scaleid = F42, rotationid = 5, modeid = F347, inverse = F292, scalename = 311322
 815: notes = 111001010010, scaleid = F43, rotationid = 0, modeid = F057, inverse = F317, scalename = 113232
 816: notes = 110010100101, scaleid = F43, rotationid = 1, modeid = F164, inverse = F127, scalename = 132321
 817: notes = 100101001011, scaleid = F43, rotationid = 2, modeid = F390, inverse = F041, scalename = 323211
 818: notes = 101001011100, scaleid = F43, rotationid = 3, modeid = F312, inverse = F344, scalename = 232113
 819: notes = 100101110010, scaleid = F43, rotationid = 4, modeid = F374, inverse = F303, scalename = 321132
 820: notes = 101110010100, scaleid = F43, rotationid = 5, modeid = F223, inverse = F388, scalename = 211323
 821: notes = 111001001100, scaleid = F44, rotationid = 0, modeid = F059, inverse = F367, scalename = 113313
 822: notes = 110010011001, scaleid = F44, rotationid = 1, modeid = F168, inverse = F152, scalename = 133131
 823: notes = 100100110011, scaleid = F44, rotationid = 2, modeid = F397, inverse = F052, scalename = 331311
 824: notes = 100110011100, scaleid = F44, rotationid = 3, modeid = F362, inverse = F346, scalename = 313113
 825: notes = 110011100100, scaleid = F44, rotationid = 4, modeid = F143, inverse = F394, scalename = 131133
 826: notes = 100111001001, scaleid = F44, rotationid = 5, modeid = F348, inverse = F166, scalename = 311331
 827: notes = 111001001010, scaleid = F45, rotationid = 0, modeid = F060, inverse = F297, scalename = 113322
 828: notes = 110010010101, scaleid = F45, rotationid = 1, modeid = F170, inverse = F117, scalename = 133221
 829: notes = 100100101011, scaleid = F45, rotationid = 2, modeid = F400, inverse = F037, scalename = 332211
 830: notes = 100101011100, scaleid = F45, rotationid = 3, modeid = F382, inverse = F343, scalename = 322113
 831: notes = 101011100100, scaleid = F45, rotationid = 4, modeid = F269, inverse = F393, scalename = 221133
 832: notes = 101110010010, scaleid = F45, rotationid = 5, modeid = F224, inverse = F318, scalename = 211332
 833: notes = 111001000110, scaleid = F46, rotationid = 0, modeid = F062, inverse = F262, scalename = 113412
 834: notes = 110010001101, scaleid = F46, rotationid = 1, modeid = F173, inverse = F102, scalename = 134121
 835: notes = 100100011011, scaleid = F46, rotationid = 2, modeid = F404, inverse = F032, scalename = 341211
 836: notes = 100011011100, scaleid = F46, rotationid = 3, modeid = F417, inverse = F342, scalename = 412113
 837: notes = 110111001000, scaleid = F46, rotationid = 4, modeid = F087, inverse = F438, scalename = 121134
 838: notes = 101110010001, scaleid = F46, rotationid = 5, modeid = F225, inverse = F192, scalename = 211341
 839: notes = 111000111000, scaleid = F47, rotationid = 0, modeid = F065, inverse = F416, scalename = 114114
 840: notes = 110001110001, scaleid = F47, rotationid = 1, modeid = F179, inverse = F179, scalename = 141141
 841: notes = 100011100011, scaleid = F47, rotationid = 2, modeid = F416, inverse = F065, scalename = 411411
 842: notes = 111000110100, scaleid = F48, rotationid = 0, modeid = F066, inverse = F381, scalename = 114123
 843: notes = 110001101001, scaleid = F48, rotationid = 1, modeid = F182, inverse = F159, scalename = 141231
 844: notes = 100011010011, scaleid = F48, rotationid = 2, modeid = F422, inverse = F055, scalename = 412311
 845: notes = 110100111000, scaleid = F48, rotationid = 3, modeid = F121, inverse = F415, scalename = 123114
 846: notes = 101001110001, scaleid = F48, rotationid = 4, modeid = F305, inverse = F178, scalename = 231141
 847: notes = 100111000110, scaleid = F48, rotationid = 5, modeid = F349, inverse = F257, scalename = 311412
 848: notes = 111000110010, scaleid = F49, rotationid = 0, modeid = F067, inverse = F311, scalename = 114132
 849: notes = 110001100101, scaleid = F49, rotationid = 1, modeid = F184, inverse = F124, scalename = 141321
 850: notes = 100011001011, scaleid = F49, rotationid = 2, modeid = F425, inverse = F040, scalename = 413211
 851: notes = 110010111000, scaleid = F49, rotationid = 3, modeid = F156, inverse = F413, scalename = 132114
 852: notes = 100101110001, scaleid = F49, rotationid = 4, modeid = F375, inverse = F177, scalename = 321141
 853: notes = 101110001100, scaleid = F49, rotationid = 5, modeid = F226, inverse = F368, scalename = 211413
 854: notes = 111000101100, scaleid = F50, rotationid = 0, modeid = F069, inverse = F361, scalename = 114213
 855: notes = 110001011001, scaleid = F50, rotationid = 1, modeid = F188, inverse = F149, scalename = 142131
 856: notes = 100010110011, scaleid = F50, rotationid = 2, modeid = F432, inverse = F051, scalename = 421311
 857: notes = 101100111000, scaleid = F50, rotationid = 3, modeid = F247, inverse = F414, scalename = 213114
 858: notes = 110011100010, scaleid = F50, rotationid = 4, modeid = F144, inverse = F324, scalename = 131142
 859: notes = 100111000101, scaleid = F50, rotationid = 5, modeid = F350, inverse = F131, scalename = 311421
 860: notes = 111000101010, scaleid = F51, rotationid = 0, modeid = F070, inverse = F291, scalename = 114222
 861: notes = 110001010101, scaleid = F51, rotationid = 1, modeid = F190, inverse = F114, scalename = 142221
 862: notes = 100010101011, scaleid = F51, rotationid = 2, modeid = F435, inverse = F036, scalename = 422211
 863: notes = 101010111000, scaleid = F51, rotationid = 3, modeid = F282, inverse = F412, scalename = 222114
 864: notes = 101011100010, scaleid = F51, rotationid = 4, modeid = F270, inverse = F323, scalename = 221142
 865: notes = 101110001010, scaleid = F51, rotationid = 5, modeid = F227, inverse = F298, scalename = 211422
 866: notes = 111000100110, scaleid = F52, rotationid = 0, modeid = F072, inverse = F256, scalename = 114312
 867: notes = 110001001101, scaleid = F52, rotationid = 1, modeid = F193, inverse = F099, scalename = 143121
 868: notes = 100010011011, scaleid = F52, rotationid = 2, modeid = F439, inverse = F031, scalename = 431211
 869: notes = 100110111000, scaleid = F52, rotationid = 3, modeid = F352, inverse = F411, scalename = 312114
 870: notes = 110111000100, scaleid = F52, rotationid = 4, modeid = F088, inverse = F403, scalename = 121143
 871: notes = 101110001001, scaleid = F52, rotationid = 5, modeid = F228, inverse = F172, scalename = 211431
 872: notes = 111000011010, scaleid = F53, rotationid = 0, modeid = F076, inverse = F281, scalename = 115122
 873: notes = 110000110101, scaleid = F53, rotationid = 1, modeid = F200, inverse = F110, scalename = 151221
 874: notes = 100001101011, scaleid = F53, rotationid = 2, modeid = F450, inverse = F035, scalename = 512211
 875: notes = 110101110000, scaleid = F53, rotationid = 3, modeid = F106, inverse = F446, scalename = 122115
 876: notes = 101011100001, scaleid = F53, rotationid = 4, modeid = F271, inverse = F197, scalename = 221151
 877: notes = 101110000110, scaleid = F53, rotationid = 5, modeid = F229, inverse = F263, scalename = 211512
 878: notes = 111000010110, scaleid = F54, rotationid = 0, modeid = F078, inverse = F246, scalename = 115212
 879: notes = 110000101101, scaleid = F54, rotationid = 1, modeid = F203, inverse = F095, scalename = 152121
